scorer,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000
bodyparts,head,head,head,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,87.61434936523438,137.75936889648438,0.994552731513977,120.88501739501953,181.34059143066406,0.9910889267921448,128.6064910888672,218.2353973388672,0.9506887197494507
1,87.30823516845703,139.19960021972656,0.9970697164535522,122.6283950805664,181.21580505371094,0.9878455400466919,131.36489868164062,219.1704559326172,0.8677868843078613
2,82.1679458618164,138.3261260986328,0.9964786767959595,122.16996002197266,181.26812744140625,0.9904253482818604,133.3811798095703,218.855224609375,0.9496471881866455
3,80.95723724365234,138.1174774169922,0.9960366487503052,121.67192077636719,181.6720733642578,0.9929289221763611,134.4748992919922,218.9170684814453,0.9545797109603882
4,79.80023956298828,137.70254516601562,0.992304265499115,120.91250610351562,181.24050903320312,0.9941975474357605,134.79342651367188,218.34255981445312,0.9644438028335571
5,79.29962921142578,137.5054931640625,0.989987850189209,119.14876556396484,181.92123413085938,0.995154082775116,132.9230499267578,218.38580322265625,0.9851271510124207
6,83.97953033447266,135.81663513183594,0.9984830617904663,118.40689849853516,181.19918823242188,0.9952731728553772,128.8173828125,219.0747528076172,0.9741366505622864
7,89.94979858398438,134.63992309570312,0.9946451783180237,118.0486831665039,180.32431030273438,0.9953761100769043,120.97200012207031,220.4319610595703,0.9605168104171753
8,91.34290313720703,138.73687744140625,0.9921746253967285,119.24762725830078,181.47476196289062,0.9942077398300171,109.6312026977539,219.79359436035156,0.9417575001716614
9,93.43022918701172,138.69186401367188,0.994907021522522,119.80435943603516,183.3690643310547,0.9895778894424438,112.24422454833984,220.84165954589844,0.9484338760375977
10,94.3646469116211,139.83998107910156,0.9975850582122803,123.1529541015625,185.7584686279297,0.9836353063583374,115.57425689697266,221.65052795410156,0.9439368844032288
11,95.56697845458984,144.27159118652344,0.9981662034988403,124.74871063232422,187.61727905273438,0.974449872970581,118.49478149414062,222.18389892578125,0.9542210102081299
12,95.70915985107422,146.06231689453125,0.9992417097091675,126.32321166992188,189.29954528808594,0.9848847389221191,126.54877471923828,223.3125457763672,0.9652776718139648
13,95.64361572265625,147.59237670898438,0.9981168508529663,126.0274658203125,189.15577697753906,0.9771376848220825,131.17745971679688,222.185791015625,0.969066858291626
14,88.30403137207031,148.0579071044922,0.9978122711181641,124.96450805664062,187.56756591796875,0.9710711240768433,135.46273803710938,222.46958923339844,0.9588331580162048
15,86.19258880615234,146.72056579589844,0.9990849494934082,124.47859954833984,188.2068328857422,0.9681210517883301,135.92752075195312,221.90692138671875,0.8179029822349548
16,84.52224731445312,147.5425262451172,0.9992572069168091,125.01839447021484,186.96038818359375,0.9805532693862915,132.1195526123047,224.5418701171875,0.94871985912323
