scorer,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000
bodyparts,head,head,head,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,298.858642578125,128.2902374267578,0.9976231455802917,243.80703735351562,126.58676147460938,0.9668712615966797,252.56478881835938,165.06590270996094,0.3030749261379242
1,300.1903381347656,127.70858001708984,0.998462438583374,243.49661254882812,126.6867446899414,0.9701452255249023,245.2889404296875,165.868408203125,0.2849835753440857
2,299.782470703125,129.35372924804688,0.998837947845459,243.23265075683594,126.3281021118164,0.9560837745666504,253.19378662109375,163.91329956054688,0.12061691284179688
3,300.1647644042969,129.3058624267578,0.9988131523132324,243.2828826904297,126.43618774414062,0.9498873353004456,256.505615234375,162.9633331298828,0.027221113443374634
4,300.40447998046875,128.13739013671875,0.9987390041351318,243.46176147460938,125.89984130859375,0.9455671906471252,258.12890625,162.49609375,0.05921843647956848
5,300.92559814453125,125.90450286865234,0.9981279373168945,242.96759033203125,123.94239807128906,0.8515772223472595,263.422607421875,160.09701538085938,0.2020156979560852
6,301.4043273925781,124.3128890991211,0.9975904822349548,242.8023681640625,123.55464935302734,0.8544241189956665,264.23284912109375,159.0732421875,0.0733950138092041
7,300.8583984375,122.66006469726562,0.9960823059082031,242.62826538085938,123.26016998291016,0.8510861396789551,266.0490417480469,160.1636962890625,0.06700527667999268
8,298.4373474121094,125.04425048828125,0.99616539478302,242.58714294433594,123.15747833251953,0.8466002345085144,265.9912414550781,159.5472869873047,0.06625095009803772
9,299.1603088378906,124.0205078125,0.9960192441940308,242.72512817382812,123.20510864257812,0.8501097559928894,266.42840576171875,158.741943359375,0.08832111954689026
10,299.2342224121094,123.61450958251953,0.9958171248435974,242.70155334472656,123.85330963134766,0.8608332276344299,187.7718505859375,91.08642578125,0.05678755044937134
11,299.22222900390625,123.79649353027344,0.9957547783851624,242.7096710205078,123.88076782226562,0.8635579347610474,273.39617919921875,150.316650390625,0.07450172305107117
12,299.2186279296875,124.46922302246094,0.9963632822036743,241.427978515625,123.42098236083984,0.8297206163406372,195.92276000976562,90.82281494140625,0.3680832087993622
13,299.17413330078125,124.5377197265625,0.9963668584823608,241.7900390625,123.37635803222656,0.8595420718193054,195.40585327148438,91.4253921508789,0.37720760703086853
14,299.358154296875,124.36177062988281,0.9962013363838196,242.0362548828125,123.38130950927734,0.8657397627830505,195.37254333496094,91.39749908447266,0.37557971477508545
15,299.2402648925781,123.53755187988281,0.9958899021148682,241.1474609375,122.51483154296875,0.8327274322509766,187.87799072265625,89.60428619384766,0.4013634920120239
16,299.3554382324219,122.79020690917969,0.9953804016113281,241.31793212890625,122.83707427978516,0.8526203632354736,187.72976684570312,89.7562026977539,0.45288458466529846
